"HM_GL_IN_OVERSIGHT_REPORTS_ID","HM_SITE_ID","HM_STUDY_ID","REPORT_SOURCE","REPORT_ID","REPORT_TYPE","REPORT_START_DATE","REPORT_END_DATE"
2706871,229688,24533,"PSQRV","15513","PSQRV",2013-11-13 00:00:00,2013-11-13 00:00:00
2712984,229689,24533,"SH","1209","On Site Visit - Ongoing",2014-02-11 00:00:00,2014-02-11 00:00:00
2712985,229690,24533,"SH","5067","On Site Visit - Ongoing",2014-07-22 00:00:00,2014-07-22 00:00:00
2706872,229690,24533,"PSQRV","12495","PSQRV",2013-09-26 00:00:00,2013-09-26 00:00:00
2712986,229692,24533,"SH","4918","On Site Visit - Ongoing",2014-07-16 00:00:00,2014-07-16 00:00:00
2706873,229692,24533,"PSQRV","15514","PSQRV",2013-10-25 00:00:00,2013-10-25 00:00:00
2712987,229693,24533,"SH","7425","On Site Visit - Ongoing",2014-09-11 00:00:00,2014-09-12 00:00:00
2712988,229694,24533,"SH","4576","On Site Visit - Ongoing",2014-06-27 00:00:00,2014-06-27 00:00:00
2706874,229696,24533,"PSQRV","12496","PSQRV",2013-10-16 00:00:00,2013-10-16 00:00:00
2712989,229701,24533,"SH","4415","On Site Visit - Ongoing",2014-06-17 00:00:00,2014-06-17 00:00:00
2712990,229701,24533,"SH","1299","On Site Visit - Ongoing",2014-02-11 00:00:00,2014-02-11 00:00:00
2706875,229701,24533,"PSQRV","12498","PSQRV",2013-07-30 00:00:00,2013-07-30 00:00:00
2706876,229701,24533,"PSQRV","12497","PSQRV",2013-06-25 00:00:00,2013-06-25 00:00:00
2712991,229709,24533,"SH","4631","On Site Visit - Ongoing",2014-07-01 00:00:00,2014-07-02 00:00:00
2712992,229712,24533,"SH","4244","On Site Visit - Ongoing",2014-06-16 00:00:00,2014-06-16 00:00:00
2712993,229734,24533,"SH","8823","On Site Visit - Ongoing",2014-10-16 00:00:00,2014-10-16 00:00:00
2712994,229734,24533,"SH","4905","On Site Visit - Ongoing",2014-07-11 00:00:00,2014-07-11 00:00:00
2712995,229736,24533,"SH","2690","On Site Visit - Ongoing",2014-04-11 00:00:00,2014-04-11 00:00:00
2712996,229736,24533,"SH","2002","On Site Visit - Ongoing",2014-03-17 00:00:00,2014-03-17 00:00:00
2706878,229737,24533,"PSQRV","15515","PSQRV",2013-11-15 00:00:00,2013-11-15 00:00:00
